;customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
5824;5321-NTRKC;Male;0;Yes;Yes;66;Yes;Yes;DSL;No;Yes;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);79.85;5234.95
1626;9504-DSHWM;Male;0;No;No;20;Yes;Yes;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);59.2;1191.2
575;9548-LIGTA;Male;0;Yes;No;61;Yes;No;DSL;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Mailed check;81.05;4747.65
6247;3428-MMGUB;Male;0;No;No;60;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Two year;Yes;Electronic check;89.55;5231.2
3778;9631-XEYKE;Male;0;No;No;3;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);50.4;137.25
2945;3987-KQDDU;Male;0;No;No;9;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;75.6;661.55
4773;8627-EHGIP;Male;0;No;No;44;No;No phone service;DSL;No;Yes;Yes;No;Yes;Yes;One year;Yes;Mailed check;53.95;2375.4
6193;5716-LIBJC;Female;0;No;Yes;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);104.15;1299.1
2408;6619-RPLQZ;Female;0;Yes;Yes;45;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.85;892.15
3665;1545-JFUML;Male;0;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Electronic check;99.0;6994.6
6291;2890-WFBHU;Female;0;No;No;59;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;No;Credit card (automatic);79.85;4786.1
6493;6576-FBXOJ;Male;0;Yes;No;17;No;No phone service;DSL;No;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;54.6;934.8
3041;1406-PUQVY;Male;0;No;Yes;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;49.9;49.9
5874;2968-SSGAA;Female;0;No;No;10;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100.6;1060.2
4962;7088-FBAWU;Female;0;Yes;Yes;17;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;No;Mailed check;74.55;1215.8
6456;9174-IHETN;Female;0;No;Yes;50;Yes;No;Fiber optic;No;No;No;No;No;No;Two year;No;Credit card (automatic);70.35;3533.6
2457;5198-EFNBM;Male;1;Yes;No;57;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;One year;Yes;Electronic check;90.65;5199.8
573;4710-FDUIZ;Male;0;Yes;No;56;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Credit card (automatic);100.3;5614.45
5091;2606-RMDHZ;Male;0;No;No;6;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);30.5;208.7
2391;7318-EIVKO;Male;0;No;No;8;Yes;Yes;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;59.25;436.6
4136;3079-BCHLN;Male;0;Yes;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19.9;942.95
3424;4112-LUEIZ;Male;0;No;No;10;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;89.5;863.1
2267;9239-GZHZE;Female;0;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);113.65;8124.2
5291;1334-PDUKM;Female;0;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;One year;No;Credit card (automatic);86.45;5762.95
4199;4088-YLDSU;Male;0;Yes;No;55;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;104.15;5743.05
2689;8628-MFKAX;Female;1;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);116.75;8277.05
2080;9919-FZDED;Male;1;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);84.1;5981.65
6950;2075-RMJIK;Female;0;Yes;Yes;5;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;49.4;232.55
6588;3389-KTRXV;Female;0;Yes;Yes;23;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;23.85;625.65
5484;4419-UJMUS;Male;0;Yes;Yes;69;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Two year;Yes;Electronic check;99.35;6856.45
6489;9318-NKNFC;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;18.85;18.85
235;1251-KRREG;Male;0;No;No;2;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;54.4;114.1
3693;7032-LMBHI;Female;0;No;No;37;Yes;Yes;DSL;Yes;No;No;No;Yes;No;One year;No;Bank transfer (automatic);64.65;2347.85
5905;1628-BIZYP;Male;0;No;No;1;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;85.0;85
3068;1810-BOHSY;Male;0;Yes;No;51;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;One year;Yes;Credit card (automatic);96.4;4911.05
969;3158-MOERK;Female;0;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;96.0;174.8
3769;2129-ALKBS;Female;0;Yes;Yes;40;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;26.2;1077.5
3259;9620-ENEJV;Female;0;No;No;6;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);70.55;433.95
204;9142-KZXOP;Male;0;No;No;44;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);68.85;2958.95
4552;1385-TQOZW;Female;0;No;No;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);20.45;147.55
2130;8945-MUQUF;Male;0;No;No;51;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;One year;Yes;Electronic check;94.8;4837.6
34;3413-BMNZE;Male;1;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);45.25;45.25
4825;0921-OHLVP;Male;0;No;No;22;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;83.05;1799.3
2834;4518-FZBSX;Male;0;Yes;Yes;42;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.25;854.9
111;4549-ZDQYY;Female;0;No;No;52;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Credit card (automatic);57.95;3042.25
3261;2378-YIZKA;Female;0;Yes;Yes;68;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);85.0;5607.75
4699;5855-EIBDE;Female;0;Yes;No;49;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Two year;No;Credit card (automatic);106.65;5174.35
1359;7943-RQCHR;Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94.75;889.9
1745;2418-TPEUN;Female;0;Yes;Yes;56;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);19.8;1119.9
1453;5899-OUVKV;Male;0;No;No;31;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94.5;2979.2
462;0880-TKATG;Male;0;Yes;Yes;4;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;101.15;385.9
4716;5176-OLSKT;Female;0;Yes;No;66;Yes;Yes;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);66.9;4370.25
3924;7716-YTYHG;Female;0;Yes;Yes;48;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;One year;Yes;Mailed check;82.05;4029.95
4866;3688-FTHLT;Female;0;No;No;16;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);63.05;1067.05
1386;8060-HIWJJ;Male;0;No;No;64;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);86.55;5632.55
3867;4922-CVPDX;Female;0;Yes;No;26;Yes;No;DSL;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);73.5;1905.7
2034;9720-JJJOR;Male;0;Yes;Yes;41;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Bank transfer (automatic);60.3;2511.3
5657;3096-GKWEB;Male;0;Yes;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94.75;1691.9
6518;1963-SVUCV;Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;45.3;45.3
4806;6729-FZWSY;Male;0;No;No;67;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;19.45;1195.95
3332;7593-XFKDI;Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;46.3;46.3
3153;9099-FTUHS;Female;0;No;No;23;Yes;Yes;DSL;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;54.4;1249.25
3389;9617-INGJY;Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70.6;70.6
5116;4759-TRPLW;Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;70.4;70.4
5498;1976-CFOCS;Female;1;Yes;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;46.0;46
5833;4976-LNFVV;Male;1;Yes;No;19;No;No phone service;DSL;No;Yes;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);34.3;577.15
3816;4304-XUMGI;Male;1;Yes;Yes;50;Yes;Yes;DSL;Yes;Yes;Yes;No;No;Yes;Two year;Yes;Bank transfer (automatic);75.15;3822.45
762;7379-POKDZ;Male;0;Yes;No;3;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70.3;208.85
1621;6352-TWCAU;Female;0;No;No;35;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;86.45;3029.1
43;4671-VJLCL;Female;0;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);79.85;4861.45
1646;2581-VKIRT;Female;0;Yes;Yes;59;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;No;Mailed check;65.5;3801.3
2504;8433-WXGNA;Male;0;No;No;2;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;75.7;189.2
5219;3976-NLDEZ;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.6;20.6
4276;1226-UDFZR;Female;0;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;49.6;114.7
582;2865-TCHJW;Female;1;No;No;4;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;89.2;346.2
1308;3372-KWFBM;Male;1;No;No;16;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;86.6;1281
2121;0673-IGUQO;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.45;20.45
2094;1057-FOGLZ;Female;0;No;No;18;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.65;391.7
3118;2122-SZZZD;Male;0;No;No;44;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19.5;835.5
1853;1612-EOHDH;Female;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;45.15;45.15
6841;8217-QYOHV;Male;0;No;No;5;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;55.75;266.95
5810;9102-IAYHT;Female;0;Yes;Yes;17;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85.45;1451.6
2148;1345-GKDZZ;Male;0;No;Yes;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.55;128.6
1342;2017-CCBLH;Female;0;No;No;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.0;141.6
576;5150-LJNSR;Male;0;Yes;Yes;31;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;No;One year;No;Bank transfer (automatic);98.05;3082.1
2787;9838-BFCQT;Male;0;Yes;Yes;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;26.1;1851.45
4629;6112-KTHFQ;Female;0;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19.3;279.3
2715;0484-JPBRU;Male;0;No;No;41;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);25.25;996.45
2326;2266-SJNAT;Female;0;Yes;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);109.15;7789.6
866;0979-MOZQI;Male;0;Yes;No;62;No;No phone service;DSL;No;No;No;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);39.0;2337.45
1206;6077-BDPXA;Female;0;No;No;3;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70.15;194.2
2893;7854-EDSSA;Male;0;No;No;22;Yes;Yes;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Electronic check;59.0;1254.7
3771;5960-WPXQM;Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79.05;79.05
1972;7892-QVYKW;Female;0;Yes;Yes;23;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;85.6;1868.4
5052;3255-GRXMG;Male;0;No;Yes;18;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);45.65;747.2
994;7277-KAMWT;Male;0;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20.0;268.45
3995;0618-XWMSS;Male;0;No;Yes;28;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);74.9;2068.55
5392;2162-FRZAA;Male;0;Yes;Yes;63;No;No phone service;DSL;No;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);39.35;2395.05
764;7969-FFOWG;Male;0;Yes;Yes;65;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.9;1292.6
6711;3545-CNWRG;Female;0;Yes;Yes;49;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;98.35;4889.2
3893;5816-SCGFC;Female;1;No;No;7;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;51.3;419.35
6879;0682-USIXD;Female;0;Yes;No;21;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;86.05;1818.9
4999;1699-TLDLZ;Female;0;Yes;Yes;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.7;301.55
1134;2208-NQBCT;Female;0;Yes;Yes;26;Yes;No;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;No;Electronic check;81.95;2070.05
6194;2868-LLSKM;Female;0;Yes;Yes;68;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;One year;Yes;Bank transfer (automatic);83.65;5733.4
5003;1867-BDVFH;Male;0;Yes;Yes;11;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74.35;834.2
4534;2607-FBDFF;Male;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Credit card (automatic);49.0;49
3956;4587-VVTOX;Female;0;Yes;No;6;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;105.3;545.2
3113;0396-YCHWO;Male;0;Yes;No;36;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95.4;3474.2
858;3224-DFQNQ;Female;0;Yes;No;66;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;No;No;One year;No;Electronic check;89.0;5898.6
1451;6890-PFRQX;Male;0;No;No;18;Yes;Yes;DSL;Yes;No;Yes;No;Yes;No;Month-to-month;No;Mailed check;69.5;1199.4
3794;4280-DLSHD;Male;0;Yes;No;8;Yes;No;DSL;No;Yes;Yes;No;No;No;Month-to-month;Yes;Mailed check;54.75;445.85
2950;3345-JHUEO;Male;0;No;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;20.2;55.7
3504;3678-MNGZX;Male;0;Yes;Yes;68;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19.95;1377.7
5449;5696-CEIQJ;Male;0;Yes;Yes;67;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);103.15;6895.5
6463;0872-CASZJ;Male;0;Yes;No;59;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;One year;Yes;Mailed check;69.1;4096.9
311;7277-OZCGZ;Female;0;No;No;22;Yes;No;Fiber optic;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;89.05;1886.25
5844;2905-KFQUV;Female;0;Yes;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);70.4;154.8
2873;0148-DCDOS;Male;0;No;No;25;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);94.7;2362.1
1254;9220-ZNKJI;Female;1;Yes;No;55;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;No;Two year;No;Credit card (automatic);88.8;4805.3
1580;7108-DGVUU;Female;1;Yes;No;21;Yes;Yes;DSL;No;Yes;Yes;No;No;Yes;One year;No;Bank transfer (automatic);71.7;1497.05
1825;5423-BHIXO;Female;0;No;No;32;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;54.2;1739.6
3809;9602-WCXPI;Male;0;No;No;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20.15;989.05
3078;5277-ZLOOR;Female;1;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;85.55;187.45
3569;9847-HNVGP;Male;0;No;No;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.95;310.6
92;7233-PAHHL;Male;0;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84.0;5714.25
6968;8685-WHQPW;Female;1;No;No;22;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);74.4;1692.6
4633;1820-DJFPH;Female;0;Yes;Yes;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24.05;1709.15
317;2321-OMBXY;Female;0;Yes;Yes;38;Yes;No;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Credit card (automatic);80.3;3058.65
142;1095-WGNGG;Female;0;Yes;No;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);101.05;5971.25
5435;7432-FFVAR;Female;0;Yes;Yes;46;Yes;No;Fiber optic;No;No;Yes;Yes;No;Yes;One year;No;Bank transfer (automatic);90.95;4236.6
5372;2786-GCDPI;Female;1;No;No;50;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104.95;5222.35
480;0486-LGCCH;Male;0;Yes;Yes;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.65;225.75
4486;7251-XFOIL;Female;0;No;No;61;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Mailed check;89.2;5500.6
2369;9570-KYEUA;Male;0;No;No;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;No;Yes;Two year;No;Credit card (automatic);99.25;6549.45
3497;9799-CAYJJ;Female;1;Yes;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.3;153.8
915;6513-EECDB;Male;1;Yes;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;73.55;73.55
5027;3247-ZVOUO;Male;1;Yes;No;10;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;85.55;851.75
2342;1552-AAGRX;Female;0;No;No;30;Yes;Yes;Fiber optic;Yes;No;No;Yes;Yes;Yes;Month-to-month;No;Bank transfer (automatic);106.4;3211.9
2677;2608-BHKFN;Female;0;No;No;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);70.05;266.9
2772;3470-OBUET;Female;0;Yes;Yes;67;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Two year;No;Credit card (automatic);74.0;4868.4
6604;7729-JTEEC;Male;0;Yes;Yes;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;44.5;90.05
4350;1518-OMDIK;Male;0;Yes;No;33;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);44.55;1462.6
2888;7409-KIUTL;Female;1;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;71.0;71
3900;8008-OTEZX;Female;0;Yes;Yes;35;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.65;708.8
3080;1777-JYQPJ;Male;0;No;No;2;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;24.3;38.45
3070;7351-MHQVU;Female;0;No;No;6;No;No phone service;DSL;Yes;Yes;No;Yes;No;Yes;Month-to-month;No;Credit card (automatic);50.95;307.6
1209;8268-YDIXR;Male;0;Yes;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;No;No;One year;Yes;Electronic check;93.15;5253.95
4106;9189-JWSHV;Female;1;Yes;No;24;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93.55;2264.05
6980;0786-VSSUD;Male;1;No;No;16;No;No phone service;DSL;No;Yes;No;No;Yes;No;Month-to-month;Yes;Mailed check;39.0;679.85
1421;5357-TZHPP;Male;1;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);84.4;732.5
3801;5914-DVBWJ;Female;1;No;No;18;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;85.45;1505.85
265;0123-CRBRT;Female;0;Yes;Yes;61;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;88.1;5526.75
6324;5022-JNQEQ;Female;0;Yes;Yes;9;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;75.85;647.5
4138;5597-GLBUC;Female;0;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;85.45;85.45
1315;5158-RIVOP;Female;0;Yes;Yes;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20.9;202.3
3022;1796-JANOW;Female;0;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.95;38.15
3944;4537-CIBHB;Female;0;Yes;Yes;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20.25;172.35
5798;4548-SDBKE;Female;0;No;No;5;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;85.2;474.8
1654;2967-MXRAV;Male;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;18.8;18.8
4865;1355-KUSBG;Female;0;Yes;Yes;7;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;48.8;349.8
1061;4829-ZLJTK;Female;1;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;112.4;8046.85
461;6614-VBEGU;Female;0;Yes;No;24;Yes;No;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);69.45;1614.05
4280;9135-HSWOC;Male;0;Yes;Yes;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);19.7;1274.05
6312;7055-VKGDA;Male;0;No;No;54;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);105.4;5643.4
3407;1167-OYZJF;Female;1;Yes;No;67;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20.05;1263.05
168;3445-HXXGF;Male;1;Yes;No;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;45.3;2651.2
6778;5893-KCLGT;Female;0;No;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.75;1567
3123;6692-YQHXC;Male;0;No;No;16;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);69.95;1205.5
3387;3530-CRZSB;Female;0;No;No;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.65;155.9
4899;1565-RHDJD;Female;0;No;Yes;4;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);84.05;333.55
2574;3269-ATYWD;Male;1;No;No;39;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);95.65;3759.05
